domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
timesofindia.indiatimes.com,0.02514144006295169,0.12220623710461197,0.29333082245519954,0.18989718422259827,86.0
economictimes.indiatimes.com,0.08369058016774115,0.14335529679418463,0.45013266264229324,0.17707507782176718,77.0
www.nature.com,0.06032036854047723,0.11488613275133004,0.4274707674571805,0.20119456625634133,46.0
www.thehindubusinessline.com,0.05577834271060202,0.12661778642365795,0.40377256650354476,0.20778534533964144,46.0
www.cbc.ca,0.09316555878216519,0.17215791860804938,0.41087903079186655,0.1915975595523177,44.0
www.abc.net.au,0.04087261026745154,0.2093219560044127,0.439285847896959,0.17015757653758137,42.0
journals.plos.org,0.10796294292127626,0.18025348109541808,0.4680116676019454,0.22349420683759266,36.0
www.aljazeera.com,-0.03041687003084062,0.12989862118828768,0.3965046649973121,0.19962074899424928,34.0
www.lifesciencesworld.com,0.13319549867343983,0.21012979793779596,0.5172282945812358,0.16209576454230165,34.0
www.globenewswire.com,0.09784002043899405,0.11977093500843336,0.33646663006267113,0.2187967082138209,31.0
www.yahoo.com,0.03791647291390723,0.12293069319938144,0.40586703051707157,0.19090355492137467,29.0
theconversation.com,0.02129519042465471,0.1370663254114314,0.3716325886415172,0.1479270122736764,28.0
www.thestar.com.my,0.11324264346764347,0.12347056333642374,0.4782930153180153,0.17457659191952052,25.0
slickdeals.net,0.32233551501408647,0.12209023586305882,0.7090477908335051,0.1018818324486175,22.0
wattsupwiththat.com,-0.02111690224758406,0.19661161417034018,0.4958725622021076,0.15850744073146097,22.0
financialpost.com,0.06864004141601544,0.21827835937243495,0.36062986075973086,0.275964005739551,22.0
www.dailymail.com,0.0839429262866763,0.14669533662114898,0.4783296055796056,0.1299901437784497,20.0
gizmodo.com,0.05435954785954785,0.14117477763645844,0.45352985209235214,0.18862988917378792,20.0
www.bbc.com,-0.0368486587816945,0.24540509670742808,0.4997207405689548,0.18575093596020273,20.0
english.khabarhub.com,0.05439772727272727,0.13741878563175877,0.24772321428571428,0.18814530308600103,20.0
en.antaranews.com,0.04580043859649123,0.0968575567519193,0.4097807017543859,0.35431073781057665,19.0
indianexpress.com,0.008365691407358074,0.14708092459505087,0.3750208526041859,0.22262248700058593,18.0
grist.org,0.0638425673299623,0.10455776536282176,0.4292552475535669,0.14636416139223263,17.0
pypi.org,-0.030315126050420166,0.12455341633358147,0.38466658885776533,0.15247183094011219,17.0
www.hurriyetdailynews.com,-0.019701972863737566,0.3223828316313224,0.40977472690707983,0.28522631061790593,17.0
www.insurancejournal.com,-0.05573306113078839,0.21755839231068916,0.46949534577375485,0.18264623698454915,16.0
freerepublic.com,-0.005863251332001324,0.22629768888245844,0.4643745317182817,0.18121240559555693,16.0
www.forbes.com,0.16747311282467534,0.17492404262855563,0.45209787608225105,0.16560088662860598,16.0
www.dw.com,0.08262408953480382,0.1126718730726379,0.5225822339036624,0.21513680043498512,15.0
ahouseinthehills.com,0.1373994893994894,0.09920393133006289,0.45163471713471715,0.1359494597063183,15.0
www.nakedcapitalism.com,0.04106607744107744,0.17041307433539765,0.37491426166426167,0.1313549414748008,14.0
www.dealnews.com,0.2667523217523218,0.14238299020795953,0.46167562850255156,0.15644055252515676,13.0
www.yankodesign.com,0.12424374236874237,0.1826850074602406,0.4341651902228826,0.16915553096471106,13.0
fortune.com,0.006754449254449263,0.216728012612689,0.4103342201779702,0.16623771716873234,12.0
www.bbc.co.uk,-0.054573648904006046,0.31895462736336594,0.5240802154195011,0.2221165241919623,12.0
