keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'cloud seeding',-0.15356164745324144,0.914303962195305,-0.022778869749880894,0.9454581980007396,104.0
'drought Iran',0.06259809941139649,0.830620407560228,0.06367125454140772,0.8122701930564786,51.0
'drought World Weather Attribution',0.006358394919928284,0.8967528064971189,0.017893917351165998,0.8060470279456794,105.0
'drought climate change',-0.07518240710723724,0.9635095959424532,0.1606716890771154,1.035291783160554,108.0
'drought prayer',0.9940714180229343,1.2037987724250458,0.36346163660690145,0.14530669713024447,2.0
'drought reservoir',0.10534498839296647,0.7569093052641056,0.10975469096025547,0.8417017763897107,106.0
'drought weather',-0.04970575453991547,0.7995688975135677,0.1227665457131813,0.8993820869533083,133.0
'dry soil',0.011730568787893659,0.8611416094769883,0.2083640334716166,0.8138735326315844,106.0
'irrigation',0.006427619174127711,0.8967074175782394,0.03235750574817805,0.9279537379668814,251.0
'rain making',0.01468953389645409,0.9090813103012485,0.0338281489480043,0.8131197481625362,110.0
'water management',0.11906297249145757,0.8217142605478415,-0.010081052020030179,0.8411091410309619,239.0
veryUnusualAndNeverUsedKeyword,-0.21634447781394223,1.0104545672057479,0.25806343079594835,0.12431506093306885,4.0
