,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Iran,Iran,GPE,-0.16467462,0.64909846,en,76.20000000,4027653-3,130758,X,32.00000000,53.00000000,ASIA,Iran,WCA
India,India,GPE,0.11023266,0.52013409,en,57.30000000,,-1,,,,,,
Tehran,Tehran,GPE,-0.20357027,0.71481926,en,44.25000000,4059304-6,112931,X,35.69438900,51.42150900,ASIA,Iran,WCA
U.S.,U.S.,GPE,-0.02196317,1.11591657,en,33.90000000,,-1,,,,,,
California,California,GPE,0.15652437,0.94384543,en,27.35000000,,-1,,,,,,
Delhi,Delhi,GPE,0.00577850,0.45091121,en,26.90000000,4011371-1,1273294,X,28.65381000,77.22897000,ASIA,India,SAS
US,US,GPE,0.05255554,0.54396630,en,24.60000000,,-1,,,,,,
New Delhi,New Delhi,GPE,0.03171550,0.52610645,en,20.50000000,4011371-1,1273294,X,28.65381000,77.22897000,ASIA,India,SAS
Florida,Florida,GPE,-0.12106181,0.79908989,en,19.10000000,4017585-6,4155751,X,28.75054000,-82.50010000,NORTH-AMERICA,United States,ENA
Türkiye,Türkiye,GPE,-0.03761917,0.48374121,en,17.30000000,4061163-2,298795,X,39.05901000,34.91154900,EUROPE-AFRICA,Turkey,MED
Earth,Earth,LOC,0.18230429,0.86739394,en,15.00000000,,-1,,,,,,
B.C.,B.C.,GPE,0.07702703,0.32088964,en,14.80000000,,-1,,,,,,
Indonesia,Indonesia,GPE,-0.24657287,0.85660173,en,14.30000000,4026761-1,1643084,X,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Maharashtra,Maharashtra,GPE,0.01935651,0.26185967,en,13.20000000,4037057-4,1264418,X,19.50000000,75.00000000,ASIA,India,SAS
El Nino,El Nino,GPE,0.04339999,0.68540421,en,12.60000000,,-1,,,,,,
Utah,Utah,GPE,0.03464406,0.68109969,en,12.60000000,4062214-9,5549030,X,39.25023900,-111.75103000,NORTH-AMERICA,United States,WNA
Australia,Australia,GPE,0.12956614,1.07580055,en,11.90000000,,-1,,,,,,
Johor,Johor,GPE,0.11201691,0.59492754,en,11.50000000,,-1,,,,,,
PHOENIX,PHOENIX,GPE,0.06599650,0.21357809,en,10.40000000,,-1,,,,,,
Texas,Texas,GPE,-0.05184123,0.79231637,en,10.30000000,4059594-8,4736286,X,31.25044000,-99.25060900,NORTH-AMERICA,United States,CNA
Georgia,Georgia,GPE,0.15322469,0.84245261,en,10.30000000,4020273-2,4197000,X,32.75041900,-83.50018000,NORTH-AMERICA,United States,ENA
United States,United States,GPE,0.10642063,0.45404762,en,10.00000000,,-1,,,,,,
El Niño,El Niño,GPE,-0.11688763,0.77782828,en,10.00000000,,-1,,,,,,
Nepal,Nepal,GPE,0.26917863,0.59101732,en,9.50000000,4041612-4,1282988,X,28.00000000,84.00000000,ASIA,Nepal,TIB
Colorado,Colorado,GPE,0.14978735,0.68184059,en,9.50000000,,-1,,,,,,
the Middle East,the Middle East,LOC,-0.01920065,0.64813830,en,9.40000000,,-1,,,,,,
China,China,GPE,0.24527636,0.77349860,en,9.05000000,4009937-4,1814991,X,35.00000000,105.00000000,ASIA,China,EAS
Kedah,Kedah,GPE,0.08439153,0.47222222,en,9.00000000,4260409-6,1733048,X,6.00000000,100.66666900,ASIA,Malaysia,SEA
West,West,LOC,0.21995523,0.85908599,en,8.80000000,,-1,,,,,,
Hawaii,Hawaii,GPE,-0.20588235,0.67843137,en,8.50000000,4023877-5,5855797,X,20.75028000,-156.50028000,PACIFIC,,NPO
Brazil,Brazil,GPE,0.09322391,0.94974547,en,8.40000000,4008003-1,3469034,X,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Africa,Africa,LOC,0.20389076,0.55297018,en,8.10000000,,-1,,,,,,
Kathmandu,Kathmandu,GPE,0.10416667,0.48611111,en,8.00000000,4030036-5,1283240,X,27.70168900,85.32059900,ASIA,Nepal,TIB
Oregon,Oregon,GPE,0.07357357,0.46452703,en,7.40000000,4043760-7,5744337,X,44.29999900,-120.50139000,NORTH-AMERICA,United States,WNA
Arizona,Arizona,GPE,0.12636640,0.66957244,en,7.30000000,4002920-7,5551752,X,34.50030000,-111.50097900,NORTH-AMERICA,United States,WNA
Perak,Perak,GPE,0.15277778,0.56944444,en,7.20000000,4304095-0,1733041,X,5.00000000,101.00000000,ASIA,Malaysia,SEA
England,England,GPE,0.03683560,0.33533493,en,7.10000000,4014770-8,6269131,X,52.16044900,-0.70312000,EUROPE,United Kingdom,NEU
Mexico,Mexico,GPE,0.02065826,0.79768908,en,6.80000000,,-1,,,,,,
Jammu,Jammu,GPE,0.13990774,0.44855809,en,6.60000000,4387357-1,1269321,X,32.73568900,74.86911000,ASIA,India,WCA
Kazakhstan,Kazakhstan,GPE,0.07575758,0.19191919,en,6.60000000,4029839-5,1522867,X,48.00000000,68.00000000,ASIA,Kazakhstan,WSB
Kashmir,Kashmir,LOC,0.00195027,0.34373737,en,6.50000000,,-1,,,,,,
Gujarat,Gujarat,GPE,-0.00976563,0.22656250,en,6.40000000,4118450-6,1270770,X,23.00000000,72.00000000,ASIA,India,SAS
the Colorado River,the Colorado River,LOC,0.01158854,0.64725167,en,6.40000000,,-1,,,,,,
Jakarta,Jakarta,GPE,-0.01543210,0.61111111,en,6.30000000,4012546-4,1642911,X,-6.21462000,106.84512900,ASIA,Indonesia,SEA
New York,New York,GPE,0.15751977,0.83765445,en,6.10000000,4042011-5,5128581,X,40.71416600,-74.00597000,NORTH-AMERICA,United States,ENA
Japan,Japan,GPE,0.18616162,0.87368687,en,6.00000000,4028495-5,1861060,X,35.68536000,139.75308900,ASIA,Japan,EAS
Andhra Pradesh,Andhra Pradesh,GPE,0.01924261,0.19422209,en,5.80000000,4001934-2,1278629,X,16.00000000,79.00000000,ASIA,India,SAS
ISTANBUL,ISTANBUL,GPE,0.23533163,0.54655612,en,5.60000000,,-1,,,,,,
Alberta,Alberta,GPE,0.20883838,0.51679293,en,5.50000000,4001049-1,5883102,X,52.28332900,-117.46899900,NORTH-AMERICA,Canada,NWN
Israel,Israel,GPE,-0.09157848,0.35416667,en,5.40000000,4027808-6,294640,X,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
