,phrase,label,sentiment,subjectivity,language,count
2025,2025,DATE,,,en,26.499999999999993
decades,decades,DATE,,,en,17.500000000000007
first,first,ORDINAL,,,en,14.200000000000003
Iranian,Iranian,NORP,,,en,14.100000000000003
Saturday,Saturday,DATE,,,en,12.000000000000005
Tuesday,Tuesday,DATE,,,en,10.4
one,one,CARDINAL,,,en,10.200000000000005
today,today,DATE,,,en,8.599999999999998
Indian,Indian,NORP,,,en,7.8
22,22,CARDINAL,,,en,7.600000000000001
second,second,ORDINAL,,,en,7.5
Friday,Friday,DATE,,,en,6.799999999999999
two,two,CARDINAL,,,en,6.599999999999997
20,20,CARDINAL,,,en,6.000000000000001
years,years,DATE,,,en,5.95
2026,2026,DATE,,,en,5.9
this week,this week,DATE,,,en,5.6
Monday,Monday,DATE,,,en,5.200000000000001
Thursday,Thursday,DATE,,,en,5.1
Sunday,Sunday,DATE,,,en,4.9
November,November,DATE,,,en,4.8
winter,winter,DATE,,,en,4.6
annual,annual,DATE,,,en,4.5
last week,last week,DATE,,,en,4.1000000000000005
countrys,countrys,NORP,,,en,4.0
three,three,CARDINAL,,,en,4.0
Three,Three,CARDINAL,,,en,3.9
Wednesday,Wednesday,DATE,,,en,3.8
six,six,CARDINAL,,,en,3.7
+12 chars,+12 chars,WORK_OF_ART,,,en,3.6999999999999997
200,200,CARDINAL,,,en,3.6
millions,millions,CARDINAL,,,en,3.599999999999999
10,10,DATE,,,en,3.5
summer,summer,DATE,,,en,3.4999999999999996
Dec. 30,Dec. 30,DATE,,,en,3.4000000000000004
monthly,monthly,DATE,,,en,3.4000000000000004
3,3,CARDINAL,,,en,3.4
2023,2023,DATE,,,en,3.1999999999999997
at least 37,at least 37,CARDINAL,,,en,3.1000000000000005
four,four,CARDINAL,,,en,3.1000000000000005
2033,2033,DATE,,,en,3.1
the year,the year,DATE,,,en,3.0
this year,this year,DATE,,,en,2.8999999999999995
2024,2024,DATE,,,en,2.8000000000000007
"1,000","1,000",CARDINAL,,,en,2.8
dozens,dozens,CARDINAL,,,en,2.6
Nov. 17,Nov. 17,DATE,,,en,2.6
Christmas,Christmas,DATE,,,en,2.5
1,1,CARDINAL,,,en,2.5
101,101,CARDINAL,,,en,2.4
Iranians,Iranians,NORP,,,en,2.4
Nov. 10,Nov. 10,DATE,,,en,2.300000000000001
