,phrase,label,sentiment,subjectivity,language,count
Kulman Ghising,Kulman Ghising,PERSON,0.001831501831501831,0.2589394732251875,en,9.1
Manjinder Singh Sirsa,Manjinder Singh Sirsa,PERSON,0.10951910408432149,0.3916337285902503,en,4.6
Christa Steele,Christa Steele,PERSON,0.22619047619047616,0.20238095238095238,en,4.2
Geoff Lawton,Geoff Lawton,PERSON,0.28267045454545453,0.533603896103896,en,4.0
PETALING JAYA,PETALING JAYA,PERSON,0.005992063492063492,0.5816666666666668,en,3.9999999999999996
Lal Kantha,Lal Kantha,PERSON,0.18092105263157895,0.49859022556390986,en,3.8
Masoud Pezeshkian,Masoud Pezeshkian,PERSON,0.04054054054054054,0.813063063063063,en,3.7
Mohan Charan Majhi,Mohan Charan Majhi,PERSON,0.009418509418509417,0.2190827190827191,en,3.6999999999999997
Biraj Bhakta Shrestha,Biraj Bhakta Shrestha,PERSON,0.05161290322580646,0.6258064516129033,en,3.0999999999999996
KUALA NERUS,KUALA NERUS,PERSON,0.16465053763440862,0.4522849462365593,en,3.0999999999999996
Ahmad Zahid Hamidi,Ahmad Zahid Hamidi,PERSON,0.16465053763440862,0.4522849462365593,en,3.0999999999999996
JOHOR BARU,JOHOR BARU,PERSON,0.06853448275862067,0.40991379310344833,en,2.9
Harish Rao,Harish Rao,PERSON,0.10714285714285716,0.4107142857142857,en,2.8
Mons Joseph,Mons Joseph,PERSON,0.0,0.3928571428571429,en,2.8
Ajit Pawar,Ajit Pawar,PERSON,0.007440476190476194,0.2336309523809524,en,2.8
El Nino,El Nino,PERSON,0.4182692307692307,0.7836538461538461,en,2.6
Yuvraj Mehta,Yuvraj Mehta,PERSON,0.012820512820512817,0.2692307692307692,en,2.6
Kylie Jenner,Kylie Jenner,PERSON,0.1692307692307692,0.5423076923076923,en,2.6
Diego Pavia,Diego Pavia,PERSON,-0.33173076923076916,0.5288461538461539,en,2.6
GEORGE TOWN,GEORGE TOWN,PERSON,0.34800000000000003,0.502,en,2.5
Brian Poulsen,Brian Poulsen,PERSON,0.041666666666666685,0.4166666666666667,en,2.4
Donald Trump,Donald Trump,PERSON,0.020316804407713475,0.7141873278236913,en,2.2
Ann Arbor,Ann Arbor,PERSON,0.02840909090909092,1.4545454545454544,en,2.2
Doug Bostrom,Doug Bostrom,PERSON,0.066017316017316,0.7743506493506493,en,2.2
Yi Yao,Yi Yao,PERSON,0.13636363636363635,0.45454545454545453,en,2.0
Omar Abdullah,Omar Abdullah,PERSON,0.0,0.2125,en,2.0
ETH Zurich,ETH Zurich,PERSON,0.13636363636363635,0.45454545454545453,en,2.0
Datuk Hameed,Datuk Hameed,PERSON,0.09780701754385963,0.7896198830409357,en,1.9000000000000001
Mytheen Kunju Basheer,Mytheen Kunju Basheer,PERSON,0.09780701754385963,0.7896198830409357,en,1.9000000000000001
Kendra Pierre-Louis,Kendra Pierre-Louis,PERSON,0.3508771929824561,0.5263157894736842,en,1.9000000000000001
ALOR SETAR,ALOR SETAR,PERSON,0.07017543859649121,0.7587719298245614,en,1.9
Sungai Manik,Sungai Manik,PERSON,0.17105263157894735,0.6447368421052633,en,1.9
Frances Hayes,Frances Hayes,PERSON,0.268640350877193,0.48611111111111116,en,1.9
Marjory Wildcraft,Marjory Wildcraft,PERSON,0.0,0.3458646616541354,en,1.9
Erin Anders,Erin Anders,PERSON,0.268640350877193,0.48611111111111116,en,1.9
Lynch Carpenter,Lynch Carpenter,PERSON,0.0,0.14473684210526316,en,1.9
Shiv Sena-BJP,Shiv Sena-BJP,PERSON,0.010964912280701759,0.3442982456140351,en,1.9
Seberang Perak,Seberang Perak,PERSON,0.17105263157894735,0.6447368421052633,en,1.9
Suryaghar Muft Bijli Yojana,Suryaghar Muft Bijli Yojana,PERSON,0.03588516746411483,0.25119617224880386,en,1.9
Ramesh Ramachandran,Ramesh Ramachandran,PERSON,0.14035087719298248,1.0175438596491229,en,1.9
Perak Tengah,Perak Tengah,PERSON,0.17105263157894735,0.6447368421052633,en,1.9
Kyle Stock,Kyle Stock,PERSON,0.0,0.0,en,1.9
Hilir Perak,Hilir Perak,PERSON,0.17105263157894735,0.6447368421052633,en,1.9
Quaterly bulletion,Quaterly bulletion,PERSON,0.0,0.0,en,1.9
Naresh Trehan,Naresh Trehan,PERSON,0.06578947368421052,0.18859649122807018,en,1.9
Lake Powell,Lake Powell,PERSON,0.0,0.0,en,1.8
Timothée Chalamet,Timothée Chalamet,PERSON,0.13333333333333333,0.4499999999999999,en,1.8
Nelly Korda,Nelly Korda,PERSON,-0.018518518518518514,0.5185185185185185,en,1.8
Massoud Pezeshkian,Massoud Pezeshkian,PERSON,0.19444444444444442,1.4074074074074072,en,1.8
Ingrid Lunden,Ingrid Lunden,PERSON,0.5555555555555556,0.5555555555555556,en,1.8
Ron DeSantis,Ron DeSantis,PERSON,-0.41666666666666663,0.7407407407407407,en,1.8
MIAS Architects,MIAS Architects,PERSON,0.0,0.22058823529411764,en,1.7
Datuk Seri Dr,Datuk Seri Dr,PERSON,0.09436274509803921,0.5012254901960785,en,1.7
Datuk Seri,Datuk Seri,PERSON,0.20588235294117646,0.3235294117647059,en,1.7
Orville Williams,Orville Williams,PERSON,0.4379411764705883,0.5341176470588236,en,1.7
KOTA BARU,KOTA BARU,PERSON,-0.029411764705882363,0.31176470588235294,en,1.7
John Nielsen,John Nielsen,PERSON,0.004456327985739746,0.5965537730243613,en,1.7
Lizzy Rain,Lizzy Rain,PERSON,0.13071895424836602,0.19607843137254902,en,1.7
Jeni Balanay,Jeni Balanay,PERSON,-0.23529411764705885,0.35294117647058826,en,1.7
Balendra Shah,Balendra Shah,PERSON,-0.04901960784313727,0.477124183006536,en,1.7
Ruwan Liyanarachchi,Ruwan Liyanarachchi,PERSON,0.1523109243697479,0.4422268907563026,en,1.7
Barry Levinson,Barry Levinson,PERSON,0.20625,0.35625,en,1.6
Kyle Busch,Kyle Busch,PERSON,1.5000000000000002,0.7500000000000001,en,1.6
Gavin Newsom,Gavin Newsom,PERSON,-0.035714285714285705,0.41071428571428575,en,1.6
Joao Pedro,Joao Pedro,PERSON,0.45833333333333337,0.7407407407407407,en,1.6
Dillon Brooks,Dillon Brooks,PERSON,0.07589285714285714,0.6964285714285714,en,1.6
Simon Stiell,Simon Stiell,PERSON,-0.0798611111111111,0.8958333333333333,en,1.6
Kevin W,Kevin W,PERSON,-0.11979166666666655,0.8124999999999999,en,1.6
Storm Chandra,Storm Chandra,PERSON,0.13541666666666666,0.3854166666666667,en,1.6
Volodymyr Zelenskyy,Volodymyr Zelenskyy,PERSON,0.08602150537634408,0.385752688172043,en,1.55
Warren Buffett,Warren Buffett,PERSON,0.6880341880341879,1.2735042735042732,en,1.3000000000000003
Michael Snyder,Michael Snyder,PERSON,0.30961538461538457,0.6192307692307691,en,1.3
Dreo SDK,Dreo SDK,PERSON,0.0,0.0,en,1.3
The Raja of Perlis,The Raja of Perlis,PERSON,0.38278388278388276,0.7637362637362637,en,1.3
Emmanuel Macron,Emmanuel Macron,PERSON,0.0,0.09615384615384615,en,1.3
Nikita Golubev,Nikita Golubev,PERSON,-0.03418803418803418,0.9572649572649572,en,1.3
PHILLIPS STATION,PHILLIPS STATION,PERSON,-0.1282051282051282,0.8974358974358975,en,1.3
Luigi Mariani,Luigi Mariani,PERSON,0.2062937062937063,0.5466200466200467,en,1.3
Gianluca Alimonti,Gianluca Alimonti,PERSON,0.2062937062937063,0.5466200466200467,en,1.3
Istana Arau,Istana Arau,PERSON,0.38278388278388276,0.7637362637362637,en,1.3
Rapa Nui,Rapa Nui,PERSON,0.07342657342657341,0.6293706293706294,en,1.3
Mary Davis,Mary Davis,PERSON,0.07537462537462535,0.5352980352980353,en,1.3
Mohamad Fazli,Mohamad Fazli,PERSON,0.4567307692307692,1.0576923076923077,en,1.3
Mohamad Salleh,Mohamad Salleh,PERSON,0.4567307692307692,1.0576923076923077,en,1.3
Turco et al,Turco et al,PERSON,-0.007326007326007323,0.8241758241758241,en,1.3
Andrew Ellis,Andrew Ellis,PERSON,-0.019230769230769232,0.8307692307692308,en,1.3
Spencer et al,Spencer et al,PERSON,0.0,0.3846153846153846,en,1.3
DORANY PINEDA,DORANY PINEDA,PERSON,0.28205128205128205,0.6474358974358975,en,1.3
Eddie Wicks,Eddie Wicks,PERSON,0.0,0.0,en,1.3
Datuk Seri Fadillah Yusof,Datuk Seri Fadillah Yusof,PERSON,0.1346153846153846,0.21153846153846154,en,1.3
Joe Raedle,Joe Raedle,PERSON,0.3269230769230769,0.6538461538461539,en,1.3
Rachel Feltman,Rachel Feltman,PERSON,0.2564102564102564,0.3846153846153846,en,1.3
Matt Ridley,Matt Ridley,PERSON,-0.2153846153846154,0.5344322344322344,en,1.3
