,Mitigation,Impacts,Causes,Hazard,Adaptation,Invalid
2025-09-10,0.0,0.0,0.0,0.8,0.0,0.0
2025-10-03,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-07,0.0,0.0,0.0,0.0,0.0,2.0
2025-10-08,0.0,0.0,0.0,0.0,0.0,0.7
2025-10-09,0.0,0.0,0.0,0.8,0.0,4.5
2025-10-10,0.0,0.0,0.0,1.0,0.0,4.5
2025-10-11,0.0,0.0,0.0,0.0,0.0,0.9
2025-10-12,0.0,0.0,0.0,0.0,0.0,0.9
2025-10-13,0.0,0.0,0.0,0.0,0.0,3.6
2025-10-14,0.0,0.0,0.0,0.0,0.0,5.6
2025-10-15,0.0,0.0,0.0,0.0,0.0,1.8
2025-10-16,0.0,0.0,0.0,0.0,0.0,6.300000000000001
2025-10-17,0.0,0.0,0.0,0.0,0.0,4.5
2025-10-19,0.0,0.0,0.0,0.8,0.0,4.5
2025-10-20,0.0,0.0,0.0,0.0,0.0,3.6
2025-10-21,0.0,0.0,0.0,0.0,0.0,3.6
2025-10-22,0.0,0.0,1.0,0.0,0.0,4.6
2025-10-23,0.0,0.0,0.0,0.8,0.0,3.6
2025-10-24,0.0,0.0,0.0,0.0,0.0,7.000000000000001
2025-10-25,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26,0.0,0.0,0.0,0.0,0.0,1.8
2025-10-27,0.0,0.0,0.0,0.0,0.0,7.300000000000001
2025-10-28,4.2,0.0,0.0,0.0,0.0,6.200000000000001
2025-10-29,1.7000000000000002,0.0,0.0,0.0,0.0,7.300000000000001
2025-10-30,2.6,0.0,0.0,0.0,0.0,6.300000000000001
2025-10-31,0.0,0.0,0.0,0.8,0.0,13.500000000000004
2025-11-01,0.9,0.0,0.0,0.0,0.0,5.4
2025-11-02,1.8,0.0,0.0,0.0,0.0,8.100000000000001
2025-11-03,0.9,0.0,0.0,0.0,0.0,10.800000000000002
2025-11-04,0.0,0.0,0.0,0.0,0.0,4.3
2025-11-05,1.0,0.0,0.0,0.0,0.0,10.900000000000002
2025-11-06,0.0,0.0,0.0,0.0,1.0,5.8
2025-11-07,0.9,0.0,0.0,0.0,0.0,4.8
2025-11-08,0.9,0.0,0.0,0.0,0.0,28.799999999999983
2025-11-09,1.6,0.0,0.0,2.4000000000000004,0.0,3.6
2025-11-10,0.0,0.0,0.8,0.0,0.8,29.69999999999998
2025-11-11,0.8,0.0,0.0,0.8,0.8,4.5
2025-11-12,0.0,0.0,0.0,0.0,0.8,31.29999999999998
2025-11-13,0.0,0.0,0.0,0.0,0.0,1.4
